[2026-03-07T21:14:57.733+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-07T21:14:37+00:00 [queued]>
[2026-03-07T21:14:57.762+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-07T21:14:37+00:00 [queued]>
[2026-03-07T21:14:57.763+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-03-07T21:14:57.803+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): stream_processing> on 2026-03-07 21:14:37+00:00
[2026-03-07T21:14:57.817+0000] {standard_task_runner.py:60} INFO - Started process 587 to run task
[2026-03-07T21:14:57.831+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'insurance_claims_pipeline', 'stream_processing', 'manual__2026-03-07T21:14:37+00:00', '--job-id', '11', '--raw', '--subdir', 'DAGS_FOLDER/insurance_claims_pipeline.py', '--cfg-path', '/tmp/tmp7jipq253']
[2026-03-07T21:14:57.845+0000] {standard_task_runner.py:88} INFO - Job 11: Subtask stream_processing
[2026-03-07T21:15:04.321+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to PostgreSQL           claim_id=CLM-203CC490C707
[2026-03-07T21:15:04.356+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-203CC490C707 latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:15:04.385+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-DD914D2D003F latency_ms=0.19097328186035156 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:15:04.386+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [info     ] Claim validated                claim_id=CLM-DD914D2D003F errors=1 latency_ms=0.19 valid=False
[2026-03-07T21:15:04.395+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to S3                   key=rejected/2026/03/07/CLM-DD914D2D003F.json
[2026-03-07T21:15:04.437+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-1800C025B605 latency_ms=0.23174285888671875 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:15:04.438+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [info     ] Claim validated                claim_id=CLM-1800C025B605 errors=1 latency_ms=0.23 valid=False
[2026-03-07T21:15:04.450+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Stored to S3                   key=rejected/2026/03/07/CLM-1800C025B605.json
[2026-03-07T21:15:04.489+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [debug    ] Lineage event recorded         claim_id=CLM-B7CBBDD9AF83 latency_ms=0.1533031463623047 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:15:04.490+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:15:04 [info     ] Claim validated                claim_id=CLM-B7CBBDD9AF83 errors=0 latency_ms=0.15 valid=True
