[2026-03-07T21:14:14.654+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=non-requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [queued]>
[2026-03-07T21:14:14.677+0000] {taskinstance.py:1956} INFO - Dependencies all met for dep_context=requeueable deps ti=<TaskInstance: insurance_claims_pipeline.stream_processing manual__2026-03-02T01:46:19+00:00 [queued]>
[2026-03-07T21:14:14.678+0000] {taskinstance.py:2170} INFO - Starting attempt 1 of 3
[2026-03-07T21:14:14.717+0000] {taskinstance.py:2191} INFO - Executing <Task(PythonOperator): stream_processing> on 2026-03-02 01:46:19+00:00
[2026-03-07T21:14:14.725+0000] {standard_task_runner.py:60} INFO - Started process 426 to run task
[2026-03-07T21:14:14.732+0000] {standard_task_runner.py:87} INFO - Running: ['airflow', 'tasks', 'run', 'insurance_claims_pipeline', 'stream_processing', 'manual__2026-03-02T01:46:19+00:00', '--job-id', '5', '--raw', '--subdir', 'DAGS_FOLDER/insurance_claims_pipeline.py', '--cfg-path', '/tmp/tmp8n5ydu23']
[2026-03-07T21:14:14.736+0000] {standard_task_runner.py:88} INFO - Job 5: Subtask stream_processing
[2026-03-07T21:14:29.700+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-DDA0B2E7A507 latency_ms=0.2486705780029297 source=tx_validation target=tx_fraud_detection
[2026-03-07T21:14:29.701+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [info     ] Claim fraud scored             claim_id=CLM-DDA0B2E7A507 fraud_score=0.4371 risk_level=medium rules=['high_amount', 'weekend_filing', 'late_filing', 'excessive_amount_for_type']
[2026-03-07T21:14:29.714+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to S3                   key=scored/2026/03/07/CLM-DDA0B2E7A507.json
[2026-03-07T21:14:29.770+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-DDA0B2E7A507 latency_ms=0.4379749298095703 source=tx_fraud_detection target=tx_enrichment
[2026-03-07T21:14:29.771+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [info     ] Claim enriched                 claim_id=CLM-DDA0B2E7A507 fields=['policy', 'claimant_history', 'geo_risk', 'category_analysis', 'adjuster_recommendation', 'reserve_estimate'] latency_ms=0.44
[2026-03-07T21:14:29.788+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to S3                   key=enriched/2026/03/07/CLM-DDA0B2E7A507.json
[2026-03-07T21:14:29.845+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-DDA0B2E7A507 latency_ms=174.23343658447266 source=tx_enrichment target=sink_s3_datalake
[2026-03-07T21:14:29.906+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Stored to PostgreSQL           claim_id=CLM-DDA0B2E7A507
[2026-03-07T21:14:29.992+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:29 [debug    ] Lineage event recorded         claim_id=CLM-DDA0B2E7A507 latency_ms=0 source=tx_enrichment target=sink_postgres
[2026-03-07T21:14:30.104+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:30 [debug    ] Lineage event recorded         claim_id=CLM-64D956B30268 latency_ms=0.17595291137695312 source=src_claims_ingestion target=tx_validation
[2026-03-07T21:14:30.105+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:30 [info     ] Claim validated                claim_id=CLM-64D956B30268 errors=1 latency_ms=0.18 valid=False
[2026-03-07T21:14:30.113+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:30 [debug    ] Stored to S3                   key=rejected/2026/03/07/CLM-64D956B30268.json
[2026-03-07T21:14:30.114+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:30 [info     ] Processed 10 claims            throughput=1.27/s
[2026-03-07T21:14:30.151+0000] {logging_mixin.py:188} INFO - 2026-03-07 21:14:30 [debug    ] Lineage event recorded         claim_id=CLM-62242EE1239B latency_ms=0.12564659118652344 source=src_claims_ingestion target=tx_validation
